Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Protocol,Experimental Condition [Imaging Type],Comment [Gene Identifier] 1,Comment [Gene Symbol] 1,Comment [Gene Identifier] 2,Comment [Gene Symbol] 2,Comment [Genetic Background],Comment [Genetic Background Identifier],Comment [Gene Annotation Comments],Comment [Image File Path],Comment [Image File Type],Channels,Comment [Experimental Conclusion]
Figure 3H,180509_RedoMovies2_23_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR335W,Nup2,YGL172W,Nup49,WT,,SGD,/Figure 3/3H - Nup2-GFP Nup49-mCherry,Raw,"FITC = Nup2-GFP, mCherry = Nup49-mCherry",The nuclear basket nucleoporin Nup2 returns to nascent nuclei during and after anaphase II in young cells;  the channel nucleoporin Nup49 is sequestered away from chromosomes during anaphase II in young cells.
Figure 3H,180509_RedoMovies2_23_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR335W,Nup2,YGL172W,Nup49,WT,,SGD,/Figure 3/3H - Nup2-GFP Nup49-mCherry,Deconvolved z-projected,"FITC = Nup2-GFP, mCherry = Nup49-mCherry",The nuclear basket nucleoporin Nup2 returns to nascent nuclei during and after anaphase II in young cells;  the channel nucleoporin Nup49 is sequestered away from chromosomes during anaphase II in young cells.
Figure 3H,180509_RedoMovies2_23_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR335W,Nup2,YGL172W,Nup49,WT,,SGD,/Figure 3/3H - Nup2-GFP Nup49-mCherry,Reference,Bright-field,The nuclear basket nucleoporin Nup2 returns to nascent nuclei during and after anaphase II in young cells;  the channel nucleoporin Nup49 is sequestered away from chromosomes during anaphase II in young cells.
Figure 3 - Supplement 1A,180531_RedoNups01_17_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YML103C,Nup188,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 1/A - Nup188-GFP Htb1-mCherry,Deconvolved,"FITC = Nup188-GFP, mCherry = Htb1-mCherry",The inner ring complex nucleoporin Nup188 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3 - Supplement 1A,180531_RedoNups01_17_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YML103C,Nup188,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 1/A - Nup188-GFP Htb1-mCherry,Raw,"FITC = Nup188-GFP, mCherry = Htb1-mCherry",The inner ring complex nucleoporin Nup188 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3 - Supplement 1A,180531_RedoNups01_17_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YML103C,Nup188,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 1/A - Nup188-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup188-GFP, mCherry = Htb1-mCherry",The inner ring complex nucleoporin Nup188 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3 - Supplement 1A,180531_RedoNups01_17_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YML103C,Nup188,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 1/A - Nup188-GFP Htb1-mCherry,Reference,Bright-field,The inner ring complex nucleoporin Nup188 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3 - Supplement 1B,170926_NonGALNDT80NupMovies1_01_04_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YMR153W,Nup53,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 1/B - Nup53-eGFP Htb1-mCherry,Deconvolved,"FITC = Nup53-eGFP, mCherry = Htb1-mCherry",The inner ring complex nucleoporin Nup53 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3 - Supplement 1B,170926_NonGALNDT80NupMovies1_01_04_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YMR153W,Nup53,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 1/B - Nup53-eGFP Htb1-mCherry,Raw,"FITC = Nup53-eGFP, mCherry = Htb1-mCherry",The inner ring complex nucleoporin Nup53 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3 - Supplement 1B,170926_NonGALNDT80NupMovies1_01_04_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YMR153W,Nup53,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 1/B - Nup53-eGFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup53-eGFP, mCherry = Htb1-mCherry",The inner ring complex nucleoporin Nup53 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3 - Supplement 1B,170926_NonGALNDT80NupMovies1_01_04_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YMR153W,Nup53,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 1/B - Nup53-eGFP Htb1-mCherry,Reference,Bright-field,The inner ring complex nucleoporin Nup53 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3 - Supplement 2,170926_NonGALNDT80NupMovies1_01_12_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YDL116W,Nup84,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 2/Nup84-GFP Htb1-mCherry,Deconvolved,"FITC = Nup84-GFP, mCherry = Htb1-mCherry",The Y-complex nucleoporin Nup84 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 2,170926_NonGALNDT80NupMovies1_01_12_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YDL116W,Nup84,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 2/Nup84-GFP Htb1-mCherry,Raw,"FITC = Nup84-GFP, mCherry = Htb1-mCherry",The Y-complex nucleoporin Nup84 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 2,170926_NonGALNDT80NupMovies1_01_12_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YDL116W,Nup84,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 2/Nup84-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup84-GFP, mCherry = Htb1-mCherry",The Y-complex nucleoporin Nup84 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 2,170926_NonGALNDT80NupMovies1_01_12_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YDL116W,Nup84,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 2/Nup84-GFP Htb1-mCherry,Reference,Bright-field,The Y-complex nucleoporin Nup84 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 3,180214_NewNupTags01_02_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YML031W,Ndc1,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 3/Ndc1-GFP Htb1-mCherry,Deconvolved,"FITC = Ndc1-GFP, mCherry = Htb1-mCherry",The transmembrane nucleoporin Ndc1 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 3,180214_NewNupTags01_02_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YML031W,Ndc1,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 3/Ndc1-GFP Htb1-mCherry,Raw,"FITC = Ndc1-GFP, mCherry = Htb1-mCherry",The transmembrane nucleoporin Ndc1 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 3,180214_NewNupTags01_02_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YML031W,Ndc1,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 3/Ndc1-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Ndc1-GFP, mCherry = Htb1-mCherry",The transmembrane nucleoporin Ndc1 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 3,180214_NewNupTags01_02_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YML031W,Ndc1,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 3/Ndc1-GFP Htb1-mCherry,Reference,Bright-field,The transmembrane nucleoporin Ndc1 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 4,171221_NewNupsRound3_01_22_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YIL115C,Nup159,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 4/Nup159-GFP Htb1-mCherry,Deconvolved,"FITC = Nup159-GFP, mCherry = Htb1-mCherry",The cytoplasmic nucleoporin Nup159 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 4,171221_NewNupsRound3_01_22_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YIL115C,Nup159,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 4/Nup159-GFP Htb1-mCherry,Raw,"FITC = Nup159-GFP, mCherry = Htb1-mCherry",The cytoplasmic nucleoporin Nup159 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 4,171221_NewNupsRound3_01_22_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YIL115C,Nup159,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 4/Nup159-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup159-GFP, mCherry = Htb1-mCherry",The cytoplasmic nucleoporin Nup159 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 4,171221_NewNupsRound3_01_22_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YIL115C,Nup159,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 4/Nup159-GFP Htb1-mCherry,Reference,Bright-field,The cytoplasmic nucleoporin Nup159 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 5,171214_NewNupTagMoviesRound2_01_36_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR119C,Nup57,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 5/Nup57-GFP Htb1-mCherry,Deconvolved,"FITC = Nup57-GFP, mCherry = Htb1-mCherry",The channel nucleoporin Nup57 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 5,171214_NewNupTagMoviesRound2_01_36_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR119C,Nup57,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 5/Nup57-GFP Htb1-mCherry,Raw,"FITC = Nup57-GFP, mCherry = Htb1-mCherry",The channel nucleoporin Nup57 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 5,171214_NewNupTagMoviesRound2_01_36_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR119C,Nup57,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 5/Nup57-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup57-GFP, mCherry = Htb1-mCherry",The channel nucleoporin Nup57 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 5,171214_NewNupTagMoviesRound2_01_36_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR119C,Nup57,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 5/Nup57-GFP Htb1-mCherry,Reference,Bright-field,The channel nucleoporin Nup57 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3 - Supplement 6A,180816_RedoMovies_25_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YOR098C,Nup1,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 6/A - Nup1-GFP Htb1-mCherry,Deconvolved,"FITC = Nup1-GFP, mCherry = Htb1-mCherry",The nuclear basket nucleoporin Nup1 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3 - Supplement 6A,180816_RedoMovies_25_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YOR098C,Nup1,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 6/A - Nup1-GFP Htb1-mCherry,Raw,"FITC = Nup1-GFP, mCherry = Htb1-mCherry",The nuclear basket nucleoporin Nup1 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3 - Supplement 6A,180816_RedoMovies_25_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YOR098C,Nup1,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 6/A - Nup1-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup1-GFP, mCherry = Htb1-mCherry",The nuclear basket nucleoporin Nup1 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3 - Supplement 6A,180816_RedoMovies_25_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YOR098C,Nup1,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 6/A - Nup1-GFP Htb1-mCherry,Reference,Bright-field,The nuclear basket nucleoporin Nup1 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3 - Supplement 6B,171221_NewNupsRound3_01_03_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YAR002W,Nup60,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 6/B - Nup60-GFP Htb1-mCherry,Deconvolved,"FITC = Nup60-GFP, mCherry = Htb1-mCherry",The nuclear basket nucleoporin Nup60 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3 - Supplement 6B,171221_NewNupsRound3_01_03_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YAR002W,Nup60,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 6/B - Nup60-GFP Htb1-mCherry,Raw,"FITC = Nup60-GFP, mCherry = Htb1-mCherry",The nuclear basket nucleoporin Nup60 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3 - Supplement 6B,171221_NewNupsRound3_01_03_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YAR002W,Nup60,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 6/B - Nup60-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup60-GFP, mCherry = Htb1-mCherry",The nuclear basket nucleoporin Nup60 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3 - Supplement 6B,171221_NewNupsRound3_01_03_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YAR002W,Nup60,YDR224C,Htb1,WT,,SGD,/Figure 3 - Supplement 6/B - Nup60-GFP Htb1-mCherry,Reference,Bright-field,The nuclear basket nucleoporin Nup60 returns to nascent nuclei during and after anaphase II in young cells.
Figure 4A,4A_08092017_Hsp104Nup170Meiosis01_08_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4/Figure 4A,Deconvolved,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry",Protein aggregates in aged cells are sequestered with nucleoporins during anaphase II.
Figure 4A,4A_08092017_Hsp104Nup170Meiosis01_08_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4/Figure 4A,Raw,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry",Protein aggregates in aged cells are sequestered with nucleoporins during anaphase II.
Figure 4A,4A_MAX_08092017_Hsp104Nup170Meiosis01_08_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4/Figure 4A,Deconvolved z-projected,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry",Protein aggregates in aged cells are sequestered with nucleoporins during anaphase II.
Figure 4A,4A_08092017_Hsp104Nup170Meiosis01_08_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4/Figure 4A,Reference,Bright-field,Protein aggregates in aged cells are sequestered with nucleoporins during anaphase II.
Figure 4B,4B_20072018_Nup49Spo20rDNA_Meiosis_01_33_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YGL172W,Nup49,flo8Δ,YER109C,SGD,/Figure 4/Figure 4B,Deconvolved,"FITC = TetR-GFP, mCherry = Nup49-mCherry",rDNA circles in aged cells are sequestered with nucleoporins during anaphase II.
Figure 4B,4B_20072018_Nup49Spo20rDNA_Meiosis_01_33_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YGL172W,Nup49,flo8Δ,YER109C,SGD,/Figure 4/Figure 4B,Raw,"FITC = TetR-GFP, mCherry = Nup49-mCherry",rDNA circles in aged cells are sequestered with nucleoporins during anaphase II.
Figure 4B,4B_20072018_Nup49Spo20rDNA_Meiosis_01_33_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YGL172W,Nup49,flo8Δ,YER109C,SGD,/Figure 4/Figure 4B,Deconvolved z-projected,"FITC = TetR-GFP, mCherry = Nup49-mCherry",rDNA circles in aged cells are sequestered with nucleoporins during anaphase II.
Figure 4B,4B_20072018_Nup49Spo20rDNA_Meiosis_01_33_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YGL172W,Nup49,flo8Δ,YER109C,SGD,/Figure 4/Figure 4B,Reference,Bright-field,rDNA circles in aged cells are sequestered with nucleoporins during anaphase II.
Figure 4C,4C_051321018_Nsr1Nup49Meiosis_01_16_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YGL172W,Nup49,flo8Δ,YER109C,SGD,/Figure 4/Figure 4C,Deconvolved,"FITC = Nsr1-GFP, mCherry = Nup49-mCherry",Nucleolar material in aged cells is sequestered with nucleoporins during anaphase II.
Figure 4C,4C_051321018_Nsr1Nup49Meiosis_01_16_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YGL172W,Nup49,flo8Δ,YER109C,SGD,/Figure 4/Figure 4C,Raw,"FITC = Nsr1-GFP, mCherry = Nup49-mCherry",Nucleolar material in aged cells is sequestered with nucleoporins during anaphase II.
Figure 4C,4C_MAX_051321018_Nsr1Nup49Meiosis_01_16_zporj_R3D_D3D.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YGL172W,Nup49,flo8Δ,YER109C,SGD,/Figure 4/Figure 4C,Deconvolved z-projected,"FITC = Nsr1-GFP, mCherry = Nup49-mCherry",Nucleolar material in aged cells is sequestered with nucleoporins during anaphase II.
Figure 4C,4C_051321018_Nsr1Nup49Meiosis_01_16_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YGL172W,Nup49,flo8Δ,YER109C,SGD,/Figure 4/Figure 4C,Reference,Bright-field,Nucleolar material in aged cells is sequestered with nucleoporins during anaphase II.
Figure 4 - Supplement 1,4S1_Hsp104Nup170MeiosisI_13_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Deconvolved,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_Hsp104Nup170MeiosisI_13_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Raw,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_MAX_Hsp104Nup170MeiosisI_zproj_13_R3D_D3D.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Deconvolved z-projected,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_Hsp104Nup170MeiosisI_13_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Reference,Bright-field,Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_Hsp104Nup170MeiosisII_07_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Deconvolved,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_Hsp104Nup170MeiosisII_07_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Raw,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_MAX_Hsp104Nup170MeiosisII_07_zproj_R3D_D3D.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Deconvolved z-projected,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_Hsp104Nup170MeiosisII_07_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Reference,Bright-field,Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_Hsp104Nup170PostMeiosisII_17_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Deconvolved,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_Hsp104Nup170PostMeiosisII_17_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Raw,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_MAX_Hsp104Nup170PostMeiosisII_zproj_17_R3D_D3D.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Deconvolved z-projected,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_Hsp104Nup170PostMeiosisII_17_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Reference,Bright-field,Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
Figure 4 - Supplement 1,4S1_Hsp104Nup170PreMeiosis_02_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Fixed cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 4 - Supplement 1,Deconvolved,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry, DAPI",Protein aggregates are sequestered with nucleoporins in aged fixed cells. 
